Question,Class
Who was its first leader?,HUM
Who were leaders of the Khmer Rouge?,HUM
When was the Khmer Rouge removed from power?,UNC
How many members are there in the singing group the Wiggles?,DESC
Who are the members' names?,HUM
Where is the group from?,LOC
List the Wiggles' songs.,UNC
What kind of a particle is a quark?,UNC
Who discovered quarks?,HUM
When were they discovered?,UNC
What are the different types of quarks?,UNC
What kind of music does the band play?,UNC
In what year was their first major album recorded?,UNC
Name their songs.,UNC
When was Nimitz born?,UNC
What town was he native of?,UNC
What branch of the military did he serve in?,UNC
During what war did he serve?,UNC
What rank did he reach?,UNC
What year did the Teapot Dome scandal take place?,UNC
Who was President of the United States at the time?,HUM
What was the main focus of the scandal?,UNC
Who were the major players involved in the scandal?,HUM
When was the USS Constitution commissioned?,UNC
What conflict did she distinguish herself in?,UNC
How many battles did she win?,DESC
What is her nickname?,UNC
Who established the awards?,HUM
What are the different categories of Nobel prizes?,UNC
When were the awards first given?,UNC
What is the monetary value of the prize?,UNC
What tribe did Sacajawea belong to?,UNC
What years did she accompany Lewis and Clark on their expedition?,UNC
When was she born?,UNC
When did she die?,UNC
Where is she buried?,LOC
How much is the Sacajawea coin worth?,DESC
When was the IFC established?,UNC
What is its mission?,UNC
What countries has the IFC financed projects in?,UNC
Who was the leader of the cult?,HUM
How many of its members committed suicide?,DESC
When did the mass suicide occur?,UNC
Where did it occur?,LOC
How did they commit suicide?,DESC
Why did they commit suicide?,DESC
On what date was Bashar Assad inaugurated as the Syrian president?,UNC
What is his party affiliation?,UNC
What was his profession prior to assuming the Presidency?,UNC
How long are Syrian presidential terms?,DESC
What schools did he attend?,UNC
When was Abu Nidal born?,UNC
What was his name at birth?,UNC
How many followers does he have?,DESC
In what countries has he operated from?,UNC
In what year did the PLO condemn him to death?,UNC
What is Carlos' real name?,UNC
Where was he born?,LOC
Whom did he marry?,UNC
When was he captured?,UNC
Where was he captured?,LOC
When was Cassini launched?,UNC
How much did it cost to build?,DESC
What is its destination?,UNC
What planets will it pass?,UNC
What is the religious affiliation of the Kurds?,UNC
How many Kurds live in Turkey?,DESC
What other countries do Kurds live in?,UNC
When was the first Burger King restaurant opened?,UNC
Where was the first restaurant opened?,LOC
Who founded it?,HUM
What are Burger King's gross sales today?,UNC
What countries is Burger King located in?,UNC
Who is the CEO of the publishing company Conde Nast?,HUM
Where are the company's headquarters?,LOC
When was the company founded?,UNC
What magazines does Conde Nast publish?,UNC
Where was she born?,LOC
How many siblings does she have?,DESC
Whom did she marry?,UNC
How many children does she have?,DESC
Where does she live?,LOC
What schools did she attend?,UNC
What is her occupation?,UNC
What branch of the service did she serve in?,UNC
What rank did she reach?,UNC
Where was he born?,LOC
When was he born?,UNC
How old was he when he began writing?,DESC
What books has he written?,UNC
When was the agreement made?,UNC
What is the purpose of the agreement?,UNC
What groups are affected by it?,UNC
Who were the key players in negotiating the agreement?,HUM
What kind of ship is the Liberty Bell 7?,UNC
Who developed it?,HUM
What is it made of?,UNC
What happened to it?,UNC
What is Vilar's nationality?,UNC
What organizations has he donated money to?,UNC
What is the name of the company he founded?,UNC
What companies has he invested in?,UNC
Who founded Public Citizen?,HUM
When was it formed?,UNC
What is its purpose?,UNC
How many members does it have?,DESC
Who is its current head?,HUM
What state does he represent?,UNC
When was he born?,UNC
When was he first elected to the senate?,UNC
What branch of the service did he serve in?,UNC
Who founded the Muslim Brotherhood?,HUM
When was it formed?,UNC
What is its goal?,UNC
What countries does it operate in?,UNC
Name members of the group.,UNC
Where is the center located?,LOC
When was the center formed?,UNC
What is its mission?,UNC
Name members of the center.,UNC
What kind of insect is a boll weevil?,UNC
What type of plant does it damage?,UNC
What states have had problems with boll weevils?,UNC
What was Johnny Appleseed's real name?,UNC
Where was he born?,LOC
When did he die?,UNC
What did he wear as a hat?,UNC
In what states did he plant trees?,UNC
What are the names of the space shuttles?,UNC
Which was the first shuttle?,UNC
When was the first flight?,UNC
When was the Challenger space shuttle disaster?,UNC
How many members were in the crew of the Challenger?,DESC
How long did the Challenger flight last before it exploded?,DESC
How late is Disneyland open?,DESC
What was the Hunchback of Notre Dame's real name?,UNC
What is the name of the airport in Dallas Ft. Worth?,UNC
What city is Disneyland in?,UNC
What book did Rachel Carson write in 1962?,UNC
What country is Aswan High Dam located in?,UNC
Which past and present NFL players have the last name of Johnson?,UNC
How many time zones are there in the world?,DESC
How high is the pitcher's mound?,DESC
How did the disciple Peter die?,DESC
What is the population of Iceland?,UNC
What business was the source of John D. Rockefeller's fortune?,UNC
What are pennies made of?,UNC
What is the name of the chart that tells you the symbol for all chemical elements?,UNC
In which city is the River Seine?,UNC
"What breeds of dog have won the ""Best in Show"" award at the Westminster Dog Show?",UNC
What city is the home to the Rock and Roll Hall of Fame?,UNC
List the names of chewing gums.,UNC
What city did Duke Ellington live in?,UNC
How did Jimi Hendrix die?,DESC
How big is Mars?,DESC
"When was ""Cold Mountain"" written?",UNC
How did Virginia Woolf die?,DESC
How fast is an eye blink?,DESC
What governments still officially recognize and support International Labor Day?,UNC
When was the first hair dryer made?,UNC
What did Ozzy Osbourne bite the head off of?,UNC
When was the U.S. capitol built?,UNC
How did George Washington die?,DESC
how did Patsy Cline die,DESC
"What band did the music for the 1970's film ""Saturday Night Fever""?",UNC
What band was Jerry Garcia with?,UNC
When was Prince Charles born?,UNC
When did International Volunteers Day begin?,UNC
"What is the play ""West Side Story"" based on?",UNC
What color is the top stripe on the U.S. flag?,UNC
How many stories are in the Sears Tower?,DESC
How fast can a nuclear submarine travel?,DESC
How many floors are in the Empire State Building?,DESC
How did Einstein die?,DESC
What grapes are used in making wine?,UNC
What membrane controls the amount of light entering the eye?,UNC
How many Olympic Games were canceled because of World War I?,DESC
What is the name of Ling Ling's mate?,UNC
What did George Washington call his house?,UNC
When was Adolf Hitler born?,UNC
What day and month did Nixon resign?,UNC
What country did Catherine the Great rule?,UNC
What is the word which means one hiring his relatives?,UNC
What is the nickname of the British flag?,UNC
Who created the literary character Phineas Fogg?,HUM
"What beach was ""I Dream of Jeannie"" filmed on?",UNC
How late will airlines let you fly in pregnancy?,DESC
How many NFL teams are there?,DESC
What country made the Statue of Liberty?,UNC
What country is the largest in square miles?,UNC
How fast can a king cobra kill you?,DESC
What does cc mean in letter writing?,UNC
How many gas stations are there in the United States?,DESC
What position did Satchel Paige play in professional baseball?,UNC
"What country is know as the ""Land of the Rising Sun""?",UNC
Who are professional female boxers?,HUM
What company manufactures Sinemet?,UNC
What capital city do you see from the top of Bunker Hill?,UNC
What party led Australia from 1983 to 1996?,UNC
What fruit's stone does Laetrile come from?,UNC
What does ACLU stand for?,UNC
What is the national airline of Spain?,UNC
What city is the Liberty Bell currently located in?,UNC
What player on a basketball team usually plays the post or pivot position?,UNC
"What is Richie's surname on ""Happy Days""?",UNC
How did Cleopatra die?,DESC
What is the motto for the Boy Scouts?,UNC
How large in square miles is North Carolina?,DESC
How big is the sun?,DESC
How many moons does Venus have?,DESC
How far is the moon from Earth in miles?,DESC
How long is the Great Barrier Reef?,DESC
What movie won the Academy Award for best picture in 1989?,UNC
When was Lyndon B. Johnson president?,UNC
What are people born 1965 through 1980 called?,UNC
What is the Cav's arena name?,UNC
What city is Ole Mississippi University in?,UNC
List the names of casinos owned by Native Americans.,UNC
When was chewing tobacco banned in baseball?,UNC
What comic book friend of Archie wears a crown-shaped hat?,UNC
How did Minnesota get its name?,DESC
How hot is the sun?,DESC
How many official languages does Switzerland have?,DESC
What was the Beatles' first number one hit?,UNC
What department is responsible for regulating casino gambling in Mississippi?,UNC
What city is Duke University in?,UNC
What American revolutionary general turned over West Point to the British?,UNC
How old was Babe Ruth when he died?,DESC
What is the state with the smallest population?,UNC
How many Earth days does it take for Mars to orbit the sun?,DESC
"What rock band sang ""A Whole Lotta Love""?",UNC
"Name singers performing the role of Donna Elvira in performances of Mozart's ""Don Giovanni"".",UNC
How far is the distance for a free throw?,DESC
What do the opposite sides of a die add up to?,UNC
What is the fastest roller coaster?,UNC
How many years are there in a French president's term?,DESC
What animal has human-like fingerprints?,UNC
What island was Napoleon exiled to after his defeat at Waterloo?,UNC
When was Leonardo da Vinci born?,UNC
How did Marty Robbins die?,DESC
How many stripes are on the American flag?,DESC
List brands of pianos.,UNC
What building is the Academy of Country Music Awards held in?,UNC
What is the area of western Germany that is known for its rich coal deposits?,UNC
What percent of the nation's cheese does Wisconsin produce?,UNC
How many days are there in a Martian year?,DESC
"What Boston Red Sox infielder was given his father's first name, with the letters reversed?",UNC
In which city would you find the Louvre?,UNC
What is the world's largest coral reef?,UNC
What English city does the prime meridian pass through?,UNC
What continent is the world's largest dessert on?,UNC
"What sports stadium has been billed as ""the eighth wonder of the world""?",UNC
When was the first Olympics held?,UNC
When was OJ Simpson arrested for murder?,UNC
What are the biggest snakes in the world?,UNC
How many electoral votes does Tennessee have?,DESC
"How do you say ""cat"" in the French language?",DESC
Who was the ancient Egyptian god that was the patron of music and pleasure?,HUM
What sporting event first took place in 1903?,UNC
How many types of human blood are there?,DESC
List female astronauts or cosmonauts.,UNC
How many stomachs does a cow have?,DESC
How many counties are in California?,DESC
How did Iowa get its name?,DESC
What did Alfred Noble invent?,UNC
What college did Allen Iverson go to?,UNC
What are baby frogs called?,UNC
What amendment did Roe vs. Wade affect?,UNC
"What museum in Philadelphia was used in ""Rocky""?",UNC
When was the city of New Orleans founded?,UNC
"What cities in the United States have newspapers called the ""Daily Journal""?",UNC
How close is Mercury to the sun?,DESC
When was MTV started?,UNC
What president served 2 nonconsecutive terms?,UNC
What dissolves gold?,UNC
What continent has discovered more meteorites landing spots than any other in the world?,UNC
"What county is San Antonio, Texas in?",UNC
What duo lost their Grammy for best new artist when it was discovered that they lip-synched their songs?,UNC
What document did Button Gwinnett sign on the upper left hand side?,UNC
"What dessert is made with poached peach halves, vanilla ice cream, and raspberry sauce?",UNC
What band did former Red Hot Chili Peppers guitarist Dave Navarro start out with?,UNC
How many children did Bob Marley have?,DESC
"What is the motto of the ""New York Times""?",UNC
How did Chicago get its name?,DESC
What court case overturned Plessy v. Furgeson?,UNC
How many legs does a beetle have?,DESC
"What Shakespeare character said, ""...the law is an ass.""?",UNC
What country is Mt. Everest in?,UNC
What is a female moose called?,UNC
What is tequila made from?,UNC
How many Great Lakes are there?,DESC
What animal is responsible for the most human deaths worldwide?,UNC
When was the first Star Wars movie made?,UNC
What date did the U.S. civil war start?,UNC
How many islands are there in Indonesia?,DESC
How did Brandon Lee die?,DESC
How fast does light travel through space?,DESC
How tall is the tallest pyramid?,DESC
What city in Louisiana was Britney Spears born in?,UNC
"What company owns the soft drink brand ""Gatorade""?",UNC
How big does a pig get?,DESC
What is Corian made of?,UNC
"How do you say ""who"" in Spanish?",DESC
What peace treaty ended WWI?,UNC
Which is the longest track event in the Olympic Games?,UNC
What breed of horse was used to found the Lipizzaner?,UNC
How many home runs did Babe Ruth hit?,DESC
How close is Mesa to Phoenix?,DESC
What is the study of ants called?,UNC
What Canadian city has the largest population?,UNC
How many rooms are in the White House?,DESC
On what Caribbean Island was Ponce de Leon governor?,UNC
What Ridley Scott movie is set in 180 a.d.?,UNC
What is Eminem's real name?,UNC
When was the telegraph invented?,UNC
Which city is home to Superman?,UNC
When was JFK born?,UNC
List the names of cell phone manufacturers.,UNC
Which countries were visited by first lady Hillary Clinton?,UNC
What player has been the home run champion of the national league seven times?,UNC
What comedy team was John Cleese part of?,UNC
What did Caesar say before he died?,UNC
What country was Catherine the Great from?,UNC
What American landmark stands on Liberty Island?,UNC
What confederate general was responsible for the defeat at Gettysburg?,UNC
When was the submarine invented?,UNC
What country produces the most silk?,UNC
What is Barbie's full name?,UNC
What is the currency of Denmark?,UNC
What companies manufacture golf clubs?,UNC
When was the U.N. created?,UNC
what is Speedy Claxton's real name?,UNC
How many times have the Yankees won the World Series?,DESC
Which U.S. presidents have died while in office?,UNC
List art museums that have returned looted Nazi art to their owners or descendants.,UNC
In what Canadian province are most people of French descent?,UNC
How cold is Lake George?,DESC
What college did Marcus Camby play for?,UNC
How many brothers and sisters does Fidel Castro have?,DESC
When is Jennifer Lopez's birthday?,UNC
"What does ""CBS"" (television network) stand for?",UNC
"What artist recorded the song ""At Last"" in the 40's or 50's?",UNC
What is the inner peel of an orange called?,UNC
When was John Lennon born?,UNC
What organization did Paul Konerko first play major league baseball with?,UNC
"What altitude is Orange City, Florida?",UNC
What country did Panama gain its independence from?,UNC
What flavor filling did the original Twinkies have?,UNC
"How many home runs did Henry ""Hank"" Aaron hit in his major league career?",DESC
Who is the mayor of San Francisco?,HUM
What are names of dirigibles (rigid airships)?,UNC
When was Abraham Lincoln born?,UNC
What is Motley Crue's Nikki Sixx's real name?,UNC
How accurate are HIV tests?,DESC
How many moons does Neptune have?,DESC
Which college athletic teams are nicknamed the Cougars?,UNC
Name U.S. entertainers that later became politicians.,UNC
What gas is 78 percent of the earth's atmosphere?,UNC
"What day did Martin Luther King, Jr. get assassinated?",UNC
How many justices does the United States Supreme Court have?,DESC
When was Listerine first put on the market?,UNC
How did John Dillinger die?,DESC
What Bob Dylan song is in a Disney movie?,UNC
What does a theodolite measure?,UNC
Which U.S. states have a county named Jackson?,UNC
How many Olympic gold medals did Carl Lewis win?,DESC
What cathedral is in Claude Monet's paintings?,UNC
When was the Great Wall of China built?,UNC
What date did the Lusitania sink?,UNC
What is egg white called?,UNC
What country is home to Sabena Airlines?,UNC
How fast does Randy Johnson throw?,DESC
What state had the most signers of the Declaration of Independence?,UNC
"What country singer's first album was titled ""Storms of Life""?",UNC
What is the body temperature of a dog?,UNC
What is the nickname for the national New Zealand basketball team?,UNC
How high is the net on a regulation ping pong table?,DESC
"What cruise ships have sunk, caught fire, or have been beached?",UNC
How did Julius Irving's son die?,DESC
What date was the Declaration of Independence signed on?,UNC
How did George Wallace's father die?,DESC
How often is someone murdered in the U.S.?,DESC
What country produces the most emeralds?,UNC
What day did Pearl Harbor occur?,UNC
How often does the men's soccer World Cup take place?,DESC
How big do iguanas get?,DESC
Who were the great opera tenors of the twentieth century?,HUM
"What is the ""Playboy"" logo?",UNC
What country did Iraq invade in 1990?,UNC
"when was Dante's ""Inferno"" written?",UNC
How high is Mt. Hood?,DESC
What famous verse did Sarah Hale write in 1830?,UNC
What countries have had school bus accidents that resulted in fatalities?,UNC
How many people can be seated in Yankee Stadium?,DESC
How far is the Titanic under water?,DESC
In which U.S. states have there been fatalities caused by snow avalanches?,UNC
What Liverpool club spawned the Beatles?,UNC
How long do mourning doves live?,DESC
What are the measurements for a king-size bed?,UNC
What is the big prize called in Canadian football?,UNC
"Who sang ""Tennessee Waltz""?",HUM
What animal can go the longest without water?,UNC
What country is Hyundai from?,UNC
What city is the gateway arch located in?,UNC
How did Malcolm X die?,DESC
How many feet above sea level is Jerusalem?,DESC
What are brake pads made of?,UNC
When was Ronald Reagan shot?,UNC
What ocean are the Gilbert Islands in?,UNC
What is the name of the unmanned space craft sent to Mars by NASA?,UNC
What is the name of the Chief Justice of the Supreme Court?,UNC
What band was Jimmy Page in before Led Zeppelin?,UNC
How big is a keg?,DESC
How many interceptions did Joe Montana throw in four Superbowls?,DESC
"What actor has a tattoo on his right wrist reading ""Scotland forever""?",UNC
How many cabinet officers are there?,DESC
How much did Marilyn Monroe weigh?,DESC
What Chinese provinces have a McDonald's restaurant?,UNC
What is the term for arable land left unseeded for one season?,UNC
How many grams in an ounce?,DESC
How large of a litter does a rat have at one time?,DESC
What country artist is nicknamed Tater?,UNC
What are baby turkeys called?,UNC
What country other than Germany has German as its official language?,UNC
What are sounds too low for humans to hear called?,UNC
How did Dennis Brown die?,DESC
What country does Greenland belong to?,UNC
What company manufactures Van Heusen shirts?,UNC
How tall is Al Pacino?,DESC
What president is on the thousand dollar bill?,UNC
Which U.S. government employees (either military or civilian) have been accused of spying for foreign countries?,UNC
When was the first camera invented?,UNC
What modern country is home to the ancient city of Babylon?,UNC
When was abortion legalized in the U.S.?,UNC
What is the Bluegrass state?,UNC
What country was the Battle of Verdun fought in?,UNC
What dam is said the be the largest hydroelectric station in the world?,UNC
What is a word spelled the same backward and forward called?,UNC
What daughter of Czar Nicholas II is said to have escaped death in the Russian revolution?,UNC
How far is a 3-point line from the basketball goal in the NBA?,DESC
What is the highest mountain in South America?,UNC
What country's flag flies over the Canary Islands?,UNC
What album became the greatest selling album of all time?,UNC
How cold is the moon?,DESC
What prison is Charles Manson at?,UNC
What does the bugler play at the end of the day on a US military base?,UNC
How tall is the green monster at Fenway?,DESC
What chemical is in chocolate that helps with depression?,UNC
List Hezbollah members killed or apprehended by Israeli forces.,UNC
What dress size was Marilyn Monroe?,UNC
What city is home to almost half of Michelangelo's statues?,UNC
What film did Liza Minnelli win a best actress Oscar for?,UNC
What major league baseball player has 511 pitching victories?,UNC
How many planets are in our solar system?,DESC
When was the Panama Canal returned to Panama?,UNC
What countries still have royalty?,UNC
How deep is the Grand Canyon?,DESC
What apostle was crucified?,UNC
What cities in Russia or the Commonwealth of Independent States (CIS) have statues of Lenin?,UNC
How much does it cost for gastric bypass surgery?,DESC
"How do you say ""I love you"" in French?",DESC
What foods can cause allergic reactions in people?,UNC
What is the richest country in the world?,UNC
How did Hawaii become a state?,DESC
When was the hot air balloon invented?,UNC
What college did Magic Johnson go to?,UNC
How did Cincinnati get its name?,DESC
How big was the Big Gulp sold in 7-Eleven stores in 1980?,DESC
How old was Elvis when he died?,DESC
How did Marjorie Kinnan Rawlings die?,DESC
What substance did Charles Best and Frederick Banting discover in 1922?,UNC
what instrument does the concertmaster of an orchestra usually play?,UNC
How long is a quarter in an NBA game?,DESC
What is capital of Maryland?,UNC
What class of drug is Xanax?,UNC
How many intelligence agencies does the U.S. have?,DESC
Which religion has the largest number of followers worldwide?,UNC
How big is the planet Venus?,DESC
When was Mariah Carey born?,UNC
In which country is Timbuktu?,UNC
What are the odds against getting struck by lightning?,UNC
How did Jackie Robinson die?,DESC
How many rooms does the Las Vegas MGM Grand Hotel have?,DESC
What American commodore demanded that Japan trade with the United States?,UNC
What canal is between the Mediterranean Sea and the Red Sea?,UNC
What is the traditional dish served at Wimbledon?,UNC
What Chinese Dynasty was during 1412-1431?,UNC
How much does the capitol dome weigh?,DESC
What is an Indian flute made of?,UNC
What divides Haiti from the Dominican Republic?,UNC
What animal is veal from?,UNC
What continent is Togo on?,UNC
When was the piano made?,UNC
Name recipients of funds given by the various foundations of Bill and Melinda Gates.,UNC
What do you call a bone doctor?,UNC
How many times a day do observant Muslims pray?,DESC
What continent is India on?,UNC
What 1857 U.S. Supreme Court decision denied that blacks were citizens?,UNC
What national monument was designated as the first national monument in 1906?,UNC
What is Britney Spears' middle name?,UNC
How many dimples does a regulation golf ball have?,DESC
How many mph do you have to go to break the sound barrier?,DESC
What country did Marco Polo come from?,UNC
"What composer wrote ""Die Gotterdammerung""?",UNC
How much did the first Barbie cost?,DESC
What is the longest river in the world?,UNC
When is Mexico's Independence Day?,UNC
How big is the Great Pyramid?,DESC
How many terms was Dwight D. Eisenhower president?,DESC
What jurisdictions have youth symphony orchestras?,UNC
How much calcium is in broccoli?,DESC
How many American deaths were there in the Korean war?,DESC
How did the Lindy Hop get its name?,DESC
How many republics made up the Soviet Union?,DESC
What does an English stone equal?,UNC
What countries provided troops or support to the NATO-led peacekeeping mission in Bosnia?,UNC
How many tentacles do squids actually have?,DESC
What is the largest city in Austria?,UNC
What team drafted Brett Favre?,UNC
What instrument measures radioactivity?,UNC
What common medicine discovered by native Americans is from the bark of a willow tree?,UNC
When was the first TV invented?,UNC
What American feminist appeared on a silver dollar?,UNC
When was the first Superbowl?,UNC
How far is it from the pitcher's mound to home plate?,DESC
What state was Amelia Earhart born in?,UNC
How many muscles are there in the human body?,DESC
What river is under New York's George Washington bridge?,UNC
What actress has received the most Oscar nominations?,UNC
How old do you have to be to join the U.S. Navy?,DESC
What did Peter Minuit buy for the equivalent of $24.00?,UNC
How did Harry Chapin die?,DESC
How many layers of skin do we have?,DESC
How did Joseph Smith die?,DESC
When was the Titanic built?,UNC
How did John Quincy Adams die?,DESC
What instrument did the jazz musician Art Tatum play?,UNC
When was barbed wire invented?,UNC
When was the first televised World Series?,UNC
How many people visited Disneyland in 1999?,DESC
What city hosted the 1936 Summer Olympics?,UNC
What are the titles of the books in Sue Grafton's alphabet series of mysteries?,UNC
What countries have won the men's World Cup for soccer?,UNC
Where is Mount Olympus?,LOC
How big is the killer whale?,DESC
How long before bankruptcy is removed from a credit report?,DESC
What engineer designed the Erie Canal?,UNC
What did Osama bin Laden's father do for a living?,UNC
How did Anne Frank die?,DESC
"What 20th century American president died at Warm Springs, Georgia?",UNC
What instrument did Louis Armstrong play?,UNC
What city's biggest shopping district is called the Ginza District?,UNC
"Who was responsible for the killing of Duncan in ""Macbeth""?",HUM
What country's soldiers hid in the Trojan horse?,UNC
What is the gift for the 20th anniversary?,UNC
What stadium was the first televised MLB game played in?,UNC
How high is Pikes peak?,DESC
Who has been nominated at least twice for an Academy Award but has never won?,HUM
How hot does it get in Death Valley?,DESC
What body of water does the Colorado River empty into?,UNC
How tall is the Washington Monument?,DESC
"What actress played Betsy in ""Betsy's Weeding""?",UNC
When was the first potato chip made?,UNC
What type of bee drills holes in wood?,UNC
What is the tallest statue in the world?,UNC
What date did Thomas Jefferson die?,UNC
What color belt is first in karate?,UNC
What country is the leading producer of rubber?,UNC
How did Bob Marley die?,DESC
What is the scientific name for red ants?,UNC
What is the name of the official residence of the President of France?,UNC
What is Horatio's relationship to Hamlet?,UNC
What passage has the Ten Commandments?,UNC
How did Jerry Garcia Die?,DESC
What is the population of Canberra?,UNC
How did Harry Houdini die?,DESC
What country celebrates Guy Fawkes Day?,UNC
what Arthur Miller play recounts his marriage to Marilyn Monroe?,UNC
What languages are spoken in India?,UNC
What ancient tribe of Mexico left behind huge stone heads standing 6-11 feet tall?,UNC
What president created social security?,UNC
When was the Red Cross founded?,UNC
What color hair did Thomas Jefferson have before gray?,UNC
Who is Tom Cruise married to?,HUM
What is the name of the volcano that destroyed the ancient city of Pompeii?,UNC
What was the largest crowd to ever come see Michael Jordan?,UNC
What year was Alaska purchased?,UNC
What mythical Scottish town appears for one day every 100 years?,UNC
When was the telegraph invented?,UNC
What is the democratic party symbol?,UNC
What year did Wilt Chamberlain score 100 points?,UNC
When was the internal combustion engine invented?,UNC
How many chromosomes does a human zygote have?,DESC
How many ounces are in a gallon?,DESC
When did the story of Romeo and Juliet take place?,UNC
When did the shootings at Columbine happen?,UNC
Which political party is Lionel Jospin a member of?,UNC
"Which vintage rock and roll singer was known as ""The Killer""?",UNC
What lays blue eggs?,UNC
What Spanish explorer discovered the Mississippi River?,UNC
Who is the governor of Colorado?,HUM
"What river is called ""China's Sorrow""?",UNC
What was the length of the  Wright brothers' first flight?,UNC
Where does the vice president live when in office?,LOC
When was Wendy's founded?,UNC
Who was the first person to run the mile in less than four minutes?,HUM
When was the Rosenberg trial?,UNC
What year did Alaska become a state?,UNC
How high is Mount Kinabalu?,DESC
When did Mike Tyson bite Holyfield's ear?,UNC
What is a peninsula in the Philippines?,UNC
Who won the Oscar for best actor in 1970?,HUM
What is the population of Maryland?,UNC
Who is the governor of Tennessee?,HUM
What was the first spaceship on the moon?,UNC
Who won the Nobel Peace Prize in 1992?,HUM
